ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
701,,50,1000,2,5,2,0,00
702,,50,1000,2,5,5,0,00
703,,50,1000,5,1,1,0,00
704,,50,1000,5,1,2,0,00
705,,50,1000,5,1,5,0,00
706,,50,1000,5,2,1,0,00
707,,50,1000,5,2,2,0,00
708,,50,1000,5,2,5,0,00
709,,50,1000,5,5,1,0,00
710,,50,1000,5,5,2,0,00
711,,50,1000,5,5,5,0,00
712,,50,1000,10,1,1,0,00
713,,50,1000,10,1,2,0,00
714,,50,1000,10,1,5,0,00
715,,50,1000,10,2,1,0,00
716,,50,1000,10,2,2,0,00
717,,50,1000,10,2,5,0,00
718,,50,1000,10,5,1,0,00
719,,50,1000,10,5,2,0,00
720,,50,1000,10,5,5,0,00
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
1,TCC-Instancia-2018-1,50,0,1,1,1,16,37
2,TCC-Instancia-2018-1,50,0,1,1,2,16,52
3,TCC-Instancia-2018-1,50,0,1,1,5,16,63
4,TCC-Instancia-2018-1,50,0,1,2,1,16,72
5,TCC-Instancia-2018-1,50,0,1,2,2,16,78
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
1,TCC-Instancia-2018-1,50,0,1,1,1,14,94
2,TCC-Instancia-2018-1,50,0,1,1,2,15,01
